0,,"どうせまた、過剰なエリクシル投入で
制御しきれなかったに違いない
――威力増強しか見えぬ兵研の馬鹿どもめ！","It's probably because they 
overloaded on elixirs again 
—those fools in the weapons lab only see 
the increase in power!",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,32,
0,,"だが、アイアス副所長が亡くなったなら
次の副所長は一体誰になるんだ？
もしや、俺も候補に――？","But if Deputy Director Ias has passed, 
who will be the next in line? 
Am I perhaps a candidate—?",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,33,
0,,"鍵がかかっている
扉には<COL ffdc78>《錬金研究棟》</COL>と記されている","The door is locked. 
The plaque reads: 
<COL ffdc78>《Alchemy Research Building》</COL>.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,34,
0,,"鍵がかかっている
扉には<COL ffdc78>《指導官室》</COL>と記されている","The door is locked. 
The plaque reads: 
<COL ffdc78>《Instructors Office》</COL>.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,35,
0,,"鍵がかかっている
扉には<COL ffdc78>《特別研究区》</COL>と記されている","The door is locked. 
The plaque reads: 
<COL ffdc78>《Special Research》</COL>.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,36,
0,,"""軍事指導官の手帳""","""Military Commander's Notebook""",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,37,
0,,"量産型巨人兵の製造は順調だ
王宮の番兵ほどではないとはいえ、
これで都周辺の守護には十分な兵力となるだろう","The production of mass-produced giant soldiers 
is proceeding smoothly. While not on par with 
the palace guards, this should provide 
sufficient force to protect the city outskirts.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,38,
0,,"しかし、ディアマンテス様に反目する
錬金術師一派には今後も注意する必要がある","Nonetheless, it will be necessary to remain 
vigilant against the faction of alchemists 
who oppose Lord Diamantes.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,39,
0,,"""朽ちかけた伝言板""","""Weathered Bulletin Board""",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,40,
0,,"この先はアイアス副所長が管理する
《特別研究区》です","Beyond this point is the 《Special Research Area》 
managed by Deputy Director Ias.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,41,
0,,"大門の開閉担当者は
副所長の許可証を必ず携帯ください","Those responsible for the main gate's 
operation must always have the 
Deputy Director's authorization on hand.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,42,
0,,"""ポーン郷の成立記録""","""Chronicles of Pawn Cathedral's Origins""",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,0,
0,,"ポーン郷はレスタニアにおいて、異界との
接点を守るため建造された
その成立は古く、異界より大勢のポーンを
召喚し率いた旧時代の覚者が成したとされている","Pawn Cathedral was built in Lestania to 
safeguard the connection with the 
otherworld. Its origin is ancient, 
credited to an old Arisen who summoned 
and led many pawns from that world.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,1,
0,,"ポーンの長により管理され続けてきたこの聖堂は、
《異界の狭間》への入り口として現在も覚者に
とって試練の場として機能している","The cathedral, under the Pawn Chief's care, 
remains a trial ground for the Arisen, 
acting as a gateway to 《The Rift》.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,2,
0,,"だが覚者も、そしてここより来たるポーンすら、
異界の狭間を越えた先がどこへ繋がるか
知る者はいない","But neither the Arisen nor the pawns 
who come from here know where 
the paths beyond the rifts 
of the otherworld lead.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,3,
0,,"異界の扉は閉ざされている
ポーンが消滅し《異界の狭間》に送られた
時のみ、扉は開くようだ","The gate to the otherworld is closed. 
The door opens only when a Pawn disappears, 
transported to 《The Rift》.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,4,
0,,"<COL ffdc78>《鉱泉の鍵・癒しの泉》</COL>は
受付カウンターで好評販売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Healing Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,0,
0,,"<COL ffdc78>《鉱泉の鍵・活力の泉》</COL>は
受付カウンターで好評発売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Vitality Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,1,
0,,"<COL ffdc78>《鉱泉の鍵・豊穣の泉》</COL>は
受付カウンターで好評発売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Abundance Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,2,
0,,"""メルゴダ上級士官の手記""","""Notes of the Mergoda Senior Officer""",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,0,
0,,"ゴルゴラン王は最近、なにやら深く
思慮されることが多いように思う","King Golgorran appears to have been 
engaged in deep contemplation of late.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,1,
0,,"ディアマンテス錬金術師長も
大規模な研究をされているようだが、
一体何が始まるのだろう","It looks like Chief Alchemist 
Diamantes is undertaking a major study; 
I wonder what will unfold.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,2,
0,,"嫌な予感がする――
思いすごしであればいいが","I have a bad feeling about this--
I hope I'm just imagining things.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,3,
0,,"そう言えば、エルテ・ディナンから
の訪問団はまだ護政区なのだろうか","That reminds me, is the 
visiting group from Erte Deenan still in 
the Protectorate?",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,4,
0,,"""錬金術の頂き""","""The Apex of Alchemy""",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,5,
0,,"錬金術――この学問は人が万物の元素を
理解し、論理により望む結果を導く道である","Alchemy—this discipline is the path by which 
humans understand the elements of all things 
and derive desired outcomes through logic.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,6,
0,,"それは、自然に存在する要素に人為的な
変化を与えることで、様々なもののありようが
人の制御下に置かれることを意味する","This signifies that by imposing artificial 
changes on naturally existing elements, 
various aspects of existence 
are brought under human control.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,7,
0,,"智と論理により、世界の姿はいかようにも
変えられるのである","By means of wisdom and logic, the world can 
be transformed into any form imaginable.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,8,
0,,"""白竜と大地の姿""","""The Form of the White Dragon and the Land""",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,9,
0,,"白竜の竜力とレスタニアの大地には
強いエネルギー的結びつきが認められる
のは、広く知られる通りだ","It is widely known that there is a strong 
energetic bond between the power of the 
White Dragon and the land of Lestania.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,10,
0,,"これまでになかった事だが、もし白竜が
死に瀕するようなことがあれば、
レスタニアにどのような異変がおこるのか","While this has never occurred, should the 
White Dragon find itself near death, 
what sort of anomalies would arise in Lestania?",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,11,
0,,"荒れた大地となるのか、新たな竜が台頭
するのか、それとも異界へ墜ちるのか――","Will it become a wasteland, 
will a new dragon arise, 
or will it plunge into the otherworld?――",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,12,
0,,"人は錬金術により、知と力を得た
いずれ起こるかもしれぬそういった
事態に備え、手だてを準備する必要がある","Through alchemy, humanity has gained 
knowledge and power, and we must prepare 
measures for such eventualities that may 
occur.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,13,
0,,"複雑な図や式が書きこまれているが
まったく読みとることができない","Complicated diagrams and expressions are written, 
but you cannot decipher them.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,14,
0,,"巨大な扉の向こうから言い知れぬ
気配を感じる","An indescribable presence emanates 
from beyond the giant door.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,15,
0,,"扉には複雑な文様と、何かをはめ込む
くぼみがある","The door has a complicated pattern and a
recess for fitting something.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,16,
0,,"扉は固く閉ざされており
開きそうにない","The door is firmly shut.
Unlikely to be opened.",ui\00_message\examine_message\stage\stage_examine_st0421.gmd,\stage\st0421\st0421.arc,st0421.arc,0,
0,,"謎の礎は妖しい輝きを放っている
白竜神殿の礎と呼応しているようだ――","The mysterious Portcrystal shines with a mystic 
light, as if in harmony with the Portcrystal of 
the White Dragon Temple――",ui\00_message\examine_message\stage\stage_examine_st0422.gmd,\stage\st0422\st0422.arc,st0422.arc,0,
0,,何か仕掛けを解除する必要がありそうだ,It seems necessary to deactivate some mechanism.,ui\00_message\examine_message\stage\stage_examine_st0432.gmd,\stage\st0432\st0432.arc,st0432.arc,0,
0,,解放に必要なクエストの進行を満たしていません。,You have not fulfilled the quest progress needed,ui\00_message\examine_message\stage\stage_examine_st0460.gmd,\stage\st0460\st0460.arc,st0460.arc,0,
0,,現在この先通行止め,This path is currently off-limits.,ui\00_message\examine_message\stage\stage_examine_st0471.gmd,\stage\st0471\st0471.arc,st0471.arc,0,
0,,現在この先通行止め,This path is currently off-limits.,ui\00_message\examine_message\stage\stage_examine_st0472.gmd,\stage\st0472\st0472.arc,st0472.arc,0,
0,,"我、悟ったり
死こそ真なる救済――
破滅と無こそ真の静寂――","I have come to understand 
that death is the true salvation―― 
and ruin and nothingness bring true tranquility――",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,0,
0,,"あぁ、ナディア、すまない――
もう君の元へ戻れそうにない","Oh, Nadia, forgive me―― 
I fear I can no longer come back to you",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,1,
0,,"だが、思った通りだった
""黒い騎士""こそが呪われた秘宝の正体だ","But it was as I suspected. 
The ""Black Knight"" is the cursed 
treasure's true form.",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,2,
0,,"あの騎士の身体に同化した装具
まさに秘宝というべき、
見たこともない宝剣に宝弓――","The equipment fused with that knight's body 
truly deserves to be called a treasure, 
a sword and bow like none I've seen――",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,3,
0,,"だがああ、その騎士に破れた者は、
呪われた秘宝に囚われた者は
もはやここから出られない","Yet alas, those who have fallen to that knight, 
Those ensnared by the cursed treasure 
Can no longer escape from here.",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,4,
0,,おそらく、俺も――,"Perhaps, I too――",ui\00_message\examine_message\stage\stage_examine_st0507.gmd,\stage\st0507\st0507.arc,st0507.arc,5,
0,,ガラクタにしか見えないものが積んである,It appears to be nothing but debris piled high.,ui\00_message\examine_message\stage\stage_examine_st0510.gmd,\stage\st0510\st0510.arc,st0510.arc,0,
0,,"文字のようなものが書いてあるが
まったく読みとることができない","There are markings that resemble letters,
but I can't decipher them at all.",ui\00_message\examine_message\stage\stage_examine_st0510.gmd,\stage\st0510\st0510.arc,st0510.arc,1,
0,,"""岩に刻まれた文字""","""Inscription carved into the rock""",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,0,
0,,"――あぁ、そうだったのか
１０００のサファイアに勝るブリアの財宝
とは、このことだったのか――","Ah, so that's what it was.
The treasure of Breya that surpasses
a thousand sapphires—this is it.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,1,
0,,"財宝を求め踏み入った者は
ことごとく海竜の逆鱗に触れ命を落とす――","Anyone who enters seeking treasure
falls victim to the sea dragon's wrath
and lose their lives.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,2,
0,,"財宝の伝説は、この滝を崇めるだけでなく
ブリアを荒らす海賊を死へ導く罠だったのだ","The legend of the treasure not only reveres
this waterfall but serves as a trap
leading pirates who ravage Breya to their death.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,3,
0,,"""かすれた文字""","""Faded text""",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,4,
0,,"海竜を退け、この部屋を訪れる者が
もしいるとしたら――","Should anyone come to this chamber
after driving away the sea dragon――",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,5,
0,,"どうかこの部屋の秘密は守ってくれないだろうか
噂がさらに広まれば海賊たちは増え
刺激された海竜がまた地上へ出ないとも限らない","I hope you can keep the secret of this room.
If rumors spread further, more pirates will come,
and there's no telling if the sea dragon will
be provoked to rise again.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,6,
0,,"俺の過ぎた好奇心のせいで、故郷が――
ルフローが襲われたあの日のように――","Due to my overwhelming curiosity, my hometown—
just as on the day Ruflow was assaulted—
has been endangered.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,7,
0,,"""消えかけた文字""","""Faint characters""",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,8,
0,,宝への鍵は、奥の滝のそばに――,"The key to the treasure lies by the waterfall
in the back――",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,9,
0,,"かなり古い時代のものらしき
黄金の装飾品やタペストリーがある
しかし、あまりに重くて持ち帰れそうにない","There are golden ornaments and tapestries
that seem to be from a long-ago time.
However, they are too heavy to take back.",ui\00_message\examine_message\stage\stage_examine_st0513.gmd,\stage\st0513\st0513.arc,st0513.arc,10,
0,,"""蝶文様の手記""","""The butterfly-patterned manuscript""",ui\00_message\examine_message\stage\stage_examine_st0523.gmd,\stage\st0523\st0523.arc,st0523.arc,0,
0,,"エルテ・ディナンと人の都には長く
交流があり、両種は互いを尊重しつつ
良い関係を維持しています","There has been a long exchange between Erte Deenan 
and the human city, with both races
respecting one another and maintaining a
positive relationship.",ui\00_message\examine_message\stage\stage_examine_st0523.gmd,\stage\st0523\st0523.arc,st0523.arc,1,
0,,"しかし、族長は懸念を抱いておられるよう
確かに錬金術師達の自然を歪める研究は、この
ところあまりに加速しています――","Yet, the chief appears to be worried.
The alchemists' experiments that warp nature
have been accelerating too rapidly recently.",ui\00_message\examine_message\stage\stage_examine_st0523.gmd,\stage\st0523\st0523.arc,st0523.arc,2,
0,,"次期北都への訪問で、人と対話を持って
彼らの考えと研究目的を確認できれば良いのですが","Hopefully, during the next visit to the
northern capital, I can engage in
dialogue with them and understand their
thoughts and research objectives.",ui\00_message\examine_message\stage\stage_examine_st0523.gmd,\stage\st0523\st0523.arc,st0523.arc,3,
0,,"""擦り切れた手帳""","""The worn-out notebook""",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,0,
0,,"北の地で、一体何が起こったというのでしょう！
白竜様が墜ち、大地が抉れ、人の都は滅んだと
の話ですが、いずれも俄かに信じられぬこと","What has happened in the north? They say
the white dragon fell, the land was
ravaged, and the human city was destroyed,
but I can hardly believe any of it.",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,1,
0,,"森と地の活力の衰えを、私ですら感じるほど
レスタニアは弱っています","I can sense the weakening vitality 
of the forest and the land; 
Lestania is faltering.",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,2,
0,,ああ、そして族長はまだお戻りになられぬまま――,"Alas, the leader has not yet returned――",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,3,
0,,"""蔦模様の手記""","""Vine-patterned notebook""",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,4,
0,,"あぁ、オークや鬼人が都の中にまで――！
このアーマを閉め切って、なんとか
持ちこたえなければ――","Ah, orcs and demons have reached 
the city itself――! We must shut 
this armor tightly and endure――",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,5,
0,,"シリルフィーム達さえいれば、あのような
魔物に踏み込まれることもなかったのに！","If only Sylphim and the rest were around, 
those creatures wouldn't have 
breached our defenses!",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,6,
0,,"――嘆いても仕方ない――
冷静に、残された私達にできることを
考えなければ","There's no point in lamenting— 
we must think calmly about 
what we can do now.",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,7,
0,,"""葉紋の手帳""","""Leaf-patterned notebook""",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,8,
0,,"――あぁ、残された我らにはもはや
絶望しかない","Alas, there is nothing left for us 
but despair.",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,9,
0,,いや、絶望がまたも――訪れた,"No, despair has come once more――",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,10,
0,,"オークを何とか退けたというのに
ごくわずかしか残らぬ我らの、最後の一人まで
喰らおうというのか","Even though we've somehow driven away 
the orcs, do they intend to devour 
even the last of us who remain?",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,11,
0,,"今残された我々に、あの蒼白い角竜を退ける
だけの力は――","At this point, we have no strength left 
to fend off that pale blue horned dragon.",ui\00_message\examine_message\stage\stage_examine_st0524.gmd,\stage\st0524\st0524.arc,st0524.arc,12,
0,,"""破れかけたメモ""","""Tattered note""",ui\00_message\examine_message\stage\stage_examine_st0527.gmd,\stage\st0527\st0527.arc,st0527.arc,0,
0,,"この青い光はなんだ？
円状の台座に乗ると1つ消えたが、降りると再び光る
どうやら前の扉と関係しているようだが――","What is this blue light? 
When I step on the circular pedestal, 
one light disappears, but it shines again 
when I step off. It seems related 
to the previous door somehow.",ui\00_message\examine_message\stage\stage_examine_st0527.gmd,\stage\st0527\st0527.arc,st0527.arc,1,
0,,"ついに森民の遺跡を発見したと思ったのに
こんなところで足止めを食うとは！
だがせっかくだ。詳細に記録し、これがどんな仕掛け
なのか解き明かそうと思う","I thought I had finally found 
the forest people's ruins, but 
I'm held up here! But this is 
a great opportunity. I will 
document everything and decipher 
what kind of mechanism this is.",ui\00_message\examine_message\stage\stage_examine_st0527.gmd,\stage\st0527\st0527.arc,st0527.arc,2,
0,,"――ん？　なにかの唸り声が聞こえた
早く扉を開けなければ、こんな小部屋で魔物に
襲われたらどうしようもないな","Huh? I can hear a growl. I 
better open the door fast; 
if a monster attacks me 
in this tiny room, I'll be 
helpless.",ui\00_message\examine_message\stage\stage_examine_st0527.gmd,\stage\st0527\st0527.arc,st0527.arc,3,
0,,"扉はびくともしない
こちら側からは開かないようだ","The door won't budge.
It doesn't seem to open from this side.",ui\00_message\examine_message\stage\stage_examine_st0541.gmd,\stage\st0541\st0541.arc,st0541.arc,0,
0,,ポーンの救出に成功しました！,The pawn was successfully rescued!,ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,0,
0,,ポーンの救出に失敗しました――,Pawn rescue failed--,ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,1,
0,,ポーンが復活しました！,The pawn has returned!,ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,2,
0,,"""祭壇に宿った思念の声が聞こえる""","""Whispers of the essence residing in the altar""",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,3,
0,,"――異界の狭間、それはポーンが現れ
そして帰す場所――","The Rift is the place where
pawns come forth and return.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,4,
0,,"ポーンを求める覚者が訪れ、そしてまた
ポーンを失いし覚者が戻る試練の場","It is a trial ground where Arisen seek pawns,
and those who have lost their pawns return.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,5,
0,,"汝、戦徒を失いし者よ
異界の奥《リムの淵辺》にて囚われた
従者を己が手で連れ戻せ","You, who has lost your Myrmidon, 
retrieve your captured follower 
from the depths of the Other World, 
at the Depths of the Rift, with your own hands.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,6,
0,,"""朽ち果てた覚者の思念が聞こえる""","""Echoes of a withered Arisen's consciousness are heard.""",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,7,
0,,"ああ、我が力及ばぬばかりに――
無念だ――","Oh, how I lament my inability――
Such a deep regret――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,8,
0,,"《復活力》が尽きたこの身には
ポーンを呼び戻す力すら――","With my Revival Power depleted, 
I do not even have the strength 
to summon back my pawn.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,9,
0,,"""息絶えた覚者の思念の声が聞こえる""","""A voice of a fallen Arisen echoes here.""",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,10,
0,,"救われず、囚われたまま主を求め
さまよう穢れしポーン達――","The cursed Pawns wander, seeking their master,
never saved and forever trapped.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,11,
0,,"私がここで倒れれば
私のポーンも、いつかはあのように――","Should I fall here, my Pawn will someday
meet the same fate――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,12,
0,,"""動かなくなった覚者の思念の声が聞こえる""","""The thoughts of an unmoving Arisen echo――""",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,13,
0,,"ああ、私のポーンが呪縛に襲われ
倒れる様を見続けることしかできないとは――","Ah, I can do nothing but witness my pawn
fall to the curse――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,14,
0,,もう一歩、もう一歩のところで――,"Almost there, just one more step――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,15,
0,,"あぁ、覚者さま――
どうしてわたしを――――","Oh, Arisen――
Why did you――――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,16,
0,,覚者――、覚者――と――,"Arisen――, 
Arisen―― and――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,17,
0,,"主、わが、主――
とこしえに、ともに――","Master, my, Master――
together forever――",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,18,
0,,"ボク――は、ますたぁのために
ここで、ずっと――","I'm-- I'm here for you, Master,
Here, forever--",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,19,
0,,"――救いがほしい――
でなければ――殺すまで","――I seek salvation――
Otherwise――I will slay you.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,20,
0,,"我を助けまた命じてほしい――
でなければ――ここで共に――","Help me and command me again--
or else-- together here-- we'll be together again.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,21,
0,,"帰還させて――なるものか
――ここがお前たちの終焉の地である","Send me back――never.
――This is your place of demise.",ui\00_message\examine_message\stage\stage_examine_st0560.gmd,\stage\st0560\st0560.arc,st0560.arc,22,
0,,深域を訪れし覚者よ――,"Those who venture into the depths, Arisen――",ui\00_message\examine_message\stage\stage_examine_st0565.gmd,\stage\st0565\st0565.arc,st0565.arc,0,
0,,"さらなる力を求むるのならば
力を示し、証を得よ","If you desire more power,
prove your strength and gain your mark.",ui\00_message\examine_message\stage\stage_examine_st0565.gmd,\stage\st0565\st0565.arc,st0565.arc,1,
0,,"淀み荒ぶる竜力への道は
我が二手の先に――","The path to the turbulent dragon's power
lies beyond my two hands.",ui\00_message\examine_message\stage\stage_examine_st0565.gmd,\stage\st0565\st0565.arc,st0565.arc,2,
0,,"""思念体のつぶやきが聞こえる――""","""You can hear the murmurs of the ethereal entity――""",ui\00_message\examine_message\stage\stage_examine_st0571.gmd,\stage\st0571\st0571.arc,st0571.arc,0,
0,,美しく、豊かな時代,A time of beauty and abundance,ui\00_message\examine_message\stage\stage_examine_st0571.gmd,\stage\st0571\st0571.arc,st0571.arc,1,
0,,"命を使う者が現れた――
最初は野生――
そして家畜――","Those who take lives have emerged—
starting with the wild—
and then with livestock—",ui\00_message\examine_message\stage\stage_examine_st0571.gmd,\stage\st0571\st0571.arc,st0571.arc,2,
