227,ANALYZE_GREAT_SUCCESS,大成功率<VAL>%,Success rate: <VAL>%.,ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,227,
227,ANALYZE_GREAT_SUCCESS,大成功率<VAL>%,Success rate: <VAL>%.,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,227,
227,ANALYZE_GREAT_SUCCESS,大成功率<VAL>%,Success rate: <VAL>%.,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,227,
228,ANALYZE_INCREASE,<VAL>%の確率で+<VAL>個,<VAL>% chance of + <VAL> pieces.,ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,228,
228,ANALYZE_INCREASE,<VAL>%の確率で+<VAL>個,<VAL>% chance of + <VAL> pieces.,ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,228,
228,ANALYZE_INCREASE,<VAL>%の確率で+<VAL>個,<VAL>% chance of + <VAL> pieces.,ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,228,
228,ANALYZE_INCREASE,<VAL>%の確率で+<VAL>個,<VAL>% chance of + <VAL> pieces.,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,228,
228,ANALYZE_INCREASE,<VAL>%の確率で+<VAL>個,<VAL>% chance of + <VAL> pieces.,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,228,
224,ANALYZE_RESULT,分析結果（概算）,Analysis Result (Approximate),ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,224,
224,ANALYZE_RESULT,分析結果（概算）,Analysis Result (Approximate),ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,224,
224,ANALYZE_RESULT,分析結果（概算）,Analysis Result (Approximate),ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,224,
224,ANALYZE_RESULT,分析結果（概算）,Analysis Result (Approximate),ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,224,
224,ANALYZE_RESULT,分析結果（概算）,Analysis Result (Approximate),ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,224,
225,ANALYZE_SPEED,作業時間<VAL>%OFF,Working hours <VAL>%OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,225,
225,ANALYZE_SPEED,作業時間<VAL>%OFF,Working hours <VAL>%OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,225,
225,ANALYZE_SPEED,作業時間<VAL>%OFF,Working hours <VAL>%OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,225,
225,ANALYZE_SPEED,作業時間<VAL>%OFF,Working hours <VAL>%OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,225,
225,ANALYZE_SPEED,作業時間<VAL>%OFF,Working hours <VAL>%OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,225,
226,ANALYZE_UPGRADE,<VAL>～<VAL>pt,<VAL>～<VAL>pt,ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,226,
226,ANALYZE_UPGRADE,<VAL>～<VAL>pt,<VAL>～<VAL>pt,ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,226,
226,ANALYZE_UPGRADE,<VAL>～<VAL>pt,<VAL>～<VAL>pt,ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,226,
226,ANALYZE_UPGRADE,<VAL>～<VAL>pt,<VAL>～<VAL>pt,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,226,
226,ANALYZE_UPGRADE,<VAL>～<VAL>pt,<VAL>～<VAL>pt,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,226,
244,ANNOUNCE_CHECK_NG_CHEST,格納チェストの参照は＜<OPCS>＞の発動中に使用可能となります,"Access to the Storage Chest is available while
<OPCS> is active",ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,244,
244,ANNOUNCE_CHECK_NG_CHEST,格納チェストの参照は＜<OPCS>＞の発動中に使用可能となります,"Access to the Storage Chest is available while
<OPCS> is active",ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,244,
244,ANNOUNCE_CHECK_NG_CHEST,格納チェストの参照は＜<OPCS>＞の発動中に使用可能となります,"Access to the Storage Chest is available while
<OPCS> is active",ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,244,
244,ANNOUNCE_CHECK_NG_CHEST,格納チェストの参照は＜<OPCS>＞の発動中に使用可能となります,"Access to the Storage Chest is available while
<OPCS> is active",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,244,
244,ANNOUNCE_CHECK_NG_CHEST,格納チェストの参照は＜<OPCS>＞の発動中に使用可能となります,"Access to the Storage Chest is available while
<OPCS> is active",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,244,
